case,ax,rate,de,de_lo,cap
case_02,Mx,0.3,1.3109820711332254,0.6548999075467488,0.50806267122018
case_02,Mx,0.45,1.1684492063282077,0.44703411768999957,0.5045583946650436
case_02,Mx,0.65,0.8464406140366748,0.3812922655462839,0.5132847192806976
case_02,Mx,0.9,1.2650664838717005,0.6957548099704197,0.5300233618789406
case_02,Mx,1.2,1.0667151972007947,0.27446028259480665,0.5521007492031031
case_02,Mx,0.1,0.9705886452404433,0.24758078047687268,0.611727538256135
case_02,Mx,0.2,0.9442665526496139,0.3539971096387596,0.527514687663975
case_02,Mx,0.3,1.0300080970150465,0.3063359563644017,0.50806267122018
case_02,Mx,0.45,0.8347881501030702,0.3216593301894274,0.5045583946650436
case_02,Mx,0.65,0.8809195293705281,0.475405333867709,0.5132847192806976
case_02,Mx,0.9,0.5577562284492334,0.2491859495190491,0.5300233618789406
case_02,Mx,1.2,0.7827289416149327,0.42263830914572836,0.5521007492031031
case_02,My,0.1,1.0244020408682768,0.41421818821312145,0.4838380314901657
case_02,My,0.2,1.0817971344441337,0.33619727720485454,0.4274085814511847
case_02,My,0.3,1.1335233878954705,0.30987697481048093,0.41612850887561464
case_02,My,0.45,0.8300659338769483,0.47148470430296585,0.41690184295604527
case_02,My,0.65,0.6637816389235798,0.18366907664806234,0.42695564423159144
case_02,My,0.9,1.3500550950332648,0.5800395211613195,0.44322244963769636
case_02,My,1.2,1.476757045588524,0.3055507206511378,0.4637569295904372
case_02,My,0.1,0.9430711202139461,0.5061922378343242,0.4838380314901657
case_02,My,0.2,0.8236323589890279,0.23784410139730863,0.4274085814511847
case_02,My,0.3,1.3614192639132627,0.7205607592315502,0.41612850887561464
case_02,My,0.45,1.0202365561131164,0.3466409910603463,0.41690184295604527
case_02,My,0.65,1.1045379940372555,0.4489393062905814,0.42695564423159144
case_02,My,0.9,0.9878199389636033,0.18595287646387718,0.44322244963769636
case_02,My,1.2,1.514073408890881,1.2224298642556988,0.4637569295904372
case_03,Mx,0.1,1.9458839728159663,0.9869492229174187,0.611727538256135
case_03,Mx,0.2,1.541447450756683,0.6660641341295851,0.527514687663975
case_03,Mx,0.3,1.8930005150794575,0.35989557202546635,0.50806267122018
case_03,Mx,0.45,1.4867075513057395,0.26660821996931866,0.5045583946650436
case_03,Mx,0.65,1.2635393046761545,0.2457026755098381,0.5132847192806976
case_03,Mx,0.9,1.2463788491300989,0.4475578882734051,0.5300233618789406
case_03,Mx,1.2,1.4021260606569208,0.27840172726044027,0.5521007492031031
case_03,Mx,0.1,1.0789682908649982,0.44617591678261465,0.611727538256135
case_03,Mx,0.2,0.8950255559383331,0.5247959627334683,0.527514687663975
case_03,Mx,0.3,0.8086483406475815,0.24339314288372543,0.50806267122018
case_03,Mx,0.45,0.6314341402038509,0.24922250473022844,0.5045583946650436
case_03,Mx,0.65,1.2735001237887438,0.5525231109839094,0.5132847192806976
case_03,Mx,0.9,0.6872473534954615,0.3613369076252386,0.5300233618789406
case_03,Mx,1.2,0.8276421305232411,0.4151059702346756,0.5521007492031031
case_03,My,0.1,1.4288801655121832,0.7744197603941296,0.4838380314901657
case_03,My,0.2,0.9312975399142732,0.398970297126733,0.4274085814511847
