case,ax,rate,de,de_lo,cap
S3,Mx,0.1,0.43683475896743146,0.2016240931411394,0.09411502515453742
S3,Mx,0.2,0.5628501231946955,0.2506469440529811,0.09496614443047838
S3,Mx,0.3,0.5685914995921064,0.23615041541668202,0.0975225432723634
S3,Mx,0.45,0.7115209579349185,0.29938082333852734,0.10153894309159955
S3,Mx,0.65,0.7021159330894149,0.29002112399471874,0.10649458960534963
S3,Mx,0.9,0.7115071035578715,0.3134244887345762,0.11199688659281105
S3,Mx,1.2,0.7806017997285999,0.3367737289584432,0.11780530190984477
S3,My,0.1,0.5436210099334804,0.24499262061906282,0.1216391598749669
S3,My,0.2,0.673691951269921,0.29673509035240464,0.12156482183699967
S3,My,0.3,0.6553479354248434,0.2552993801630169,0.1244510744554638
S3,My,0.45,0.7168162706159765,0.3198851162205714,0.12933588381604924
S3,My,0.65,0.8088211835150638,0.3209598377722573,0.13552120899819375
S3,My,0.9,0.7619194243427967,0.31531816256299044,0.14246370031849145
S3,My,1.2,0.9145333765026735,0.35399289317128735,0.14983024244428048
S3,My,0.1,0.465789741157219,0.21413353257610748,0.1216391598749669
S3,My,0.2,0.44751542586030346,0.20034517893033216,0.12156482183699967
S3,My,0.3,0.528117872341064,0.23027980672804302,0.1244510744554638
S3,My,0.45,0.625666600144266,0.25807672629577755,0.12933588381604924
S3,My,0.65,0.5825246757799108,0.2540848085802322,0.13552120899819375
S3,My,0.9,0.6765264430486148,0.27720260276239683,0.14246370031849145
S3,My,1.2,0.6621715614643825,0.33977450529485465,0.14983024244428048
S4,Mx,0.1,0.43622762890435407,0.2003146293816677,0.10763249804410989
S4,Mx,0.2,0.5806891568483592,0.2313464699714247,0.108022017272444
S4,Mx,0.3,0.5999132684049527,0.2593912825148662,0.11071677932408837
S4,Mx,0.45,0.5776143278240111,0.247687406419922,0.11512398517194208
S4,Mx,0.65,0.6624343557336695,0.2755999852114724,0.12064167800367143
S4,Mx,0.9,0.6651635832306512,0.2974317801936863,0.12680711814340176
S4,Mx,1.2,0.6236707809346724,0.2763155627873388,0.1333363440414431
S4,Mx,0.1,0.5607656164442371,0.2526450838060484,0.10763249804410989
S4,Mx,0.2,0.6565418687440475,0.26137162607821957,0.108022017272444
S4,Mx,0.3,0.878058078111209,0.38013155776085916,0.11071677932408837
S4,Mx,0.45,0.9404132511605281,0.3982531873380272,0.11512398517194208
S4,Mx,0.65,1.0292327657548643,0.41828806895062365,0.12064167800367143
S4,Mx,0.9,0.9274770917892123,0.39467749646619005,0.12680711814340176
S4,Mx,1.2,1.028611063712124,0.4271628076840366,0.1333363440414431
S4,My,0.1,0.5692150205248637,0.23685054522278373,0.1307021846846266
S4,My,0.2,0.6404727939687238,0.2903788450070723,0.1301838743728561
S4,My,0.3,0.763701030942602,0.3296199358803476,0.1331128855125712
S4,My,0.45,0.8062188212416272,0.3539875194998948,0.13822119808817745
S4,My,0.65,0.8588079571380949,0.3509631014113331,0.1447540863158656
S4,My,0.9,0.5662105189302511,0.2813668772389948,0.15211747309653278
