case,ax,rate,res,nhi
case_02,My,0.9,1.7006197897305189,1.1552978908862277
case_02,My,1.2,4.401731554424523,1.3589484719915916
case_02,My,0.1,1.958106484829211,1.0233978276405977
case_02,My,0.2,1.4919836883192696,0.9267508954062935
case_02,My,0.3,1.4995126027749077,0.9801888810453576
case_02,My,0.45,1.2821702645734463,0.7986296311767908
case_02,My,0.65,2.039449215174272,0.7704084423568371
case_02,My,0.9,1.313162633331782,0.9015820237024608
case_02,My,1.2,2.0402587534192698,0.9811740591401077
case_03,Mx,0.1,2.171732088558878,0.9001390274025225
case_03,Mx,0.2,1.8909172157695675,0.7338384379803308
case_03,Mx,0.3,1.4307591335473415,0.9905420032790893
case_03,Mx,0.45,1.5596683462013925,0.8273137682855017
case_03,Mx,0.65,1.0475389254604144,0.7898742468840103
case_03,Mx,0.9,1.2654811938106956,0.7955802435575037
case_03,Mx,1.2,1.7654442595186495,0.917618310240456
case_03,Mx,0.1,1.0921872661346281,0.5695367214759053
case_03,Mx,0.2,1.2244618821379756,0.5023486276259408
case_03,Mx,0.3,0.9384438893229401,0.5641816893500865
case_03,Mx,0.45,0.8460023149119589,0.47015199336319335
case_03,Mx,0.65,1.3410416243243954,0.7015617569813369
case_03,Mx,0.9,2.2565401923735906,0.5408423100802267
case_03,Mx,1.2,0.6527635034046673,0.4335643941578057
case_03,My,0.1,1.8063187378288927,0.7783206958489146
case_03,My,0.2,1.7827091417628798,0.7668294564498406
case_03,My,0.3,1.035465398938738,0.8332474156878938
case_03,My,0.45,1.216079182776491,0.6971247507555931
case_03,My,0.65,1.2119739583994076,0.6498291662154223
case_03,My,0.9,1.7076250216045863,0.8799241536642436
case_03,My,1.2,2.5514067664218647,1.2564889864742435
case_03,My,0.1,1.8067674199899204,1.103033923561472
case_03,My,0.2,2.1812176544100335,1.0199860824064324
case_03,My,0.3,1.5871229296381244,0.8819756215883461
case_03,My,0.45,1.4184584678057526,0.790487106467429
case_03,My,0.65,2.2067537011591893,0.9980477757377758
case_03,My,0.9,1.5634689191592939,0.8588232406236063
case_03,My,1.2,1.2681519935228849,0.7659411797705179
case_04,Mx,0.1,1.9253036784150799,0.5824041724221464
case_04,Mx,0.2,0.9123901397802906,0.5264608427496422
case_04,Mx,0.3,1.5408742561680675,0.468293320867944
case_04,Mx,0.45,0.9870332500647842,0.69656270043876
case_04,Mx,0.65,1.67681583011964,0.6655418952410823
case_04,Mx,0.9,1.276893352694454,0.6943377293569988
case_04,Mx,1.2,1.2056995943851954,0.7996500243197776
case_04,Mx,0.1,1.2683228719591717,0.4819949471733829
case_04,Mx,0.2,1.1983947853996144,0.5033986927634854
case_04,Mx,0.3,0.984046919378598,0.5218248801640899
case_04,Mx,0.45,0.6955123871642251,0.42472706845357167
case_04,Mx,0.65,0.832663645496354,0.5104363488788699
case_04,Mx,0.9,0.8863736421845367,0.529640642211148
case_04,Mx,1.2,1.0745878697546716,0.4827703479667151
case_04,My,0.1,1.645763457340078,0.981182949695191
case_04,My,0.2,1.7744454281094533,1.5020477766209956
case_04,My,0.3,1.421743703440129,0.99021537273108
case_04,My,0.45,1.9884599684521977,0.9271284758842642
case_04,My,0.65,1.1071766705101342,0.8232537164990129
case_04,My,0.9,1.8481843209863904,0.9145561613120707
case_04,My,1.2,3.3249109485786357,1.1332234837825415
case_04,My,0.1,2.1894140074436352,1.2442022997848399
case_04,My,0.2,3.2111857007542715,1.1116273599723043
case_04,My,0.3,1.6932575295095555,1.0594366259821721
case_04,My,0.45,1.926795539606529,1.0404904986624814
case_04,My,0.65,1.1237207932695534,0.7167338490070032
case_04,My,0.9,1.2295681358284403,0.7227211350904688
case_04,My,1.2,2.7083519804663045,0.9671813692865558
case_05,Mx,0.1,1.7713901650136983,0.7452724005238262
case_05,Mx,0.2,1.2737896956640946,0.8305632372242624
case_05,Mx,0.3,2.2151279390695464,0.7930944451946034
case_05,Mx,0.45,2.052755057540356,0.7402030138006274
case_05,Mx,0.65,1.395032415097886,0.717894229947329
case_05,Mx,0.9,1.9842462909771892,0.7948015788338939
case_05,Mx,1.2,0.9735328715791607,0.9417982628100813
case_05,Mx,0.1,0.9376472199518487,0.45887172289467526
case_05,Mx,0.2,1.1582117255122555,0.41980638207889104
case_05,Mx,0.3,0.8854016040492788,0.42317417987487543
case_05,Mx,0.45,1.2429771292204546,0.40959984704909785
case_05,Mx,0.65,0.5816524755254564,0.4308900760546232
case_05,Mx,0.9,0.702168753630493,0.42774023752620366
case_05,Mx,1.2,0.6192806674509099,0.5211528663933405
case_05,My,0.1,1.0761776050614489,0.8716720672076812
case_05,My,0.2,1.1875273712528571,0.7174613897590076
case_05,My,0.3,1.2875186992895014,0.6932072905163081
case_05,My,0.45,1.9214541786874337,0.8910509485439592
case_05,My,0.65,1.5441746493742887,1.127004257753625
case_05,My,0.9,0.9607280870654031,0.7571618564338373
case_05,My,1.2,1.536087886536927,1.0487624435270817
case_05,My,0.1,1.851401115357202,0.9811444608945066
case_05,My,0.2,1.469118074788874,1.2525622509213359
case_05,My,0.3,2.02394414758248,1.009659629819349
case_05,My,0.45,1.3558834534002333,0.9661433684073076
case_05,My,0.65,1.7096808445054288,1.0799976413437162
case_05,My,0.9,1.065574160389588,0.8027885777979858
case_05,My,1.2,1.4502568308454287,1.0357065430032617
