case,axis,run,rate,gap_onset,gap_rel,tau_ms,M_crit
case_01,My,pos_My_045,0.45,0.04422106218261357,0.03932289180832743,98.26902707247459,1.1245628220366246
case_01,My,pos_My_065,0.65,0.06483958524764266,0.05570455954542482,99.75320807329639,1.163990627998209
case_01,My,pos_My_090,0.9,0.09717314646337849,0.07810030287164085,107.97016273708721,1.2442095983044288
case_01,My,pos_My_120,1.2,0.1174932222371432,0.0911621911369308,97.91101853095267,1.288837189758435
case_02,Mx,neg_Mx_01,0.1,0.011208101776897461,0.006135914260393885,112.0810177689746,-1.8266392425401938
case_02,Mx,neg_Mx_02,0.2,0.021140367589924658,0.011330107454428015,105.70183794962328,-1.8658576430060787
case_02,Mx,neg_Mx_03,0.3,0.03132267210108841,0.016361199406306422,104.40890700362804,-1.9144484046209405
case_02,Mx,neg_Mx_045,0.45,0.046631648440307094,0.025386547727764715,103.62588542290466,-1.8368645055785617
case_02,Mx,neg_Mx_065,0.65,0.0632191225681713,0.0343155768195397,97.26018856641738,-1.842286460770596
case_02,Mx,neg_Mx_090,0.9,0.09000781840155314,0.05030616516587839,100.00868711283681,-1.7892005503652175
case_02,Mx,neg_Mx_120,1.2,0.12354729562058253,0.06420914551633167,102.95607968381879,-1.9241386040429105
case_02,Mx,pos_Mx_01,0.1,0.0064550315218195875,0.007114804341312898,64.55031521819588,0.9072676087995468
case_02,Mx,pos_Mx_02,0.2,0.020457185660559207,0.022830692585974918,102.28592830279604,0.8960387681417175
case_02,Mx,pos_Mx_03,0.3,0.02950161482722924,0.03264391367488125,98.33871609076414,0.9037401311941974
case_02,Mx,pos_Mx_045,0.45,0.044568150701060905,0.05075323662969836,99.04033489124645,0.8781341577530398
case_02,Mx,pos_Mx_065,0.65,0.06647657304520227,0.07073841127931531,102.27165083877273,0.9397521352679962
case_02,Mx,pos_Mx_090,0.9,0.09276927430526405,0.10283593610173952,103.07697145029339,0.902109494228592
case_02,Mx,pos_Mx_120,1.2,0.11125553976471647,0.13699576593908214,92.7129498039304,0.8121093305481313
case_02,My,neg_My_01,0.1,0.007509280983579614,0.011035569049116655,75.09280983579613,-0.6804616010427388
case_02,My,neg_My_02,0.2,0.02169216478271585,0.030819073142499657,108.46082391357925,-0.7038551965017483
case_02,My,neg_My_03,0.3,0.030834779585494188,0.04170154331106251,102.78259861831397,-0.7394157898543384
case_02,My,neg_My_045,0.45,0.043828912017166655,0.06050713415332047,97.39758226037034,-0.7243594103483323
case_02,My,neg_My_065,0.65,-0.851096971699326,-0.9994628658222754,-1309.3799564605015,-0.851554370655996
case_02,My,neg_My_090,0.9,0.09056834985422768,0.13008768444785285,100.63149983803075,-0.696210023559402
case_02,My,neg_My_120,1.2,0.10738799920742859,0.14990518277658052,89.48999933952383,-0.7163728245972671
case_02,My,pos_My_01,0.1,0.008090482997564763,0.006076701336739356,80.90482997564763,1.3313938844830515
case_02,My,pos_My_02,0.2,0.01869700922048212,0.0138037144363955,93.48504610241059,1.3544911629861551
case_02,My,pos_My_03,0.3,0.03040050029295327,0.022708637009826955,101.3350009765109,1.338719725001449
case_02,My,pos_My_045,0.45,0.047750266999793345,0.03650919532042994,106.11170444398522,1.3078969991177287
case_02,My,pos_My_065,0.65,0.0634489943756047,0.049224022068729716,97.6138375009303,1.288984355788992
case_02,My,pos_My_090,0.9,0.09249702166547524,0.06808569922846551,102.77446851719472,1.3585381763517788
case_02,My,pos_My_120,1.2,0.12555229716340377,0.08802514385152833,104.62691430283647,1.4263231125776101
case_03,Mx,neg_Mx_01,0.1,0.007812150105377613,0.00502866679213511,78.12150105377613,-1.5535231162255374
case_03,Mx,neg_Mx_02,0.2,0.02852588747232576,0.017720361485397424,142.62943736162882,-1.609780223492207
case_03,Mx,neg_Mx_03,0.3,0.03050675937314029,0.018511050823528375,101.68919791046764,-1.6480295831917242
case_03,Mx,neg_Mx_045,0.45,0.047037155332489755,0.033184787456053966,104.52701184997723,-1.4174312671063583
case_03,Mx,neg_Mx_065,0.65,0.06397687278378483,0.03814999013689767,98.42595812889974,-1.6769826821503704
case_03,Mx,neg_Mx_090,0.9,0.08843518374038073,0.051723498443262496,98.26131526708969,-1.7097680242450866
case_03,Mx,neg_Mx_120,1.2,0.12260269696701975,0.06473198598974758,102.16891413918313,-1.894004873980506
case_03,Mx,pos_Mx_01,0.1,0.012774319857004834,0.012947865016776042,127.74319857004834,0.986596619632167
case_03,Mx,pos_Mx_02,0.2,0.016911925077014445,0.016617037106965802,84.55962538507222,1.0177461221366009
case_03,Mx,pos_Mx_03,0.3,0.03147816833081141,0.02884425558493185,104.92722776937136,1.0913149842998724
case_03,Mx,pos_Mx_045,0.45,0.04779687549261791,0.04439227256748163,106.21527887248423,1.0766935939123385
case_03,Mx,pos_Mx_065,0.65,-1.3823328806607755,-1.0,-2126.665970247347,1.3823328806607755
case_03,Mx,pos_Mx_090,0.9,0.08810346473371977,0.08215526460432981,97.89273859302197,1.072401935019469
case_03,Mx,pos_Mx_120,1.2,0.1180682886895763,0.08346241104298104,98.39024057464692,1.4146283005025353
case_03,My,neg_My_01,0.1,0.011495982915926461,0.011793016807720012,114.95982915926461,-0.9748127305644892
case_03,My,neg_My_02,0.2,0.018143881855591903,0.017327436963118257,90.71940927795951,-1.0471186185361092
case_03,My,neg_My_03,0.3,0.027736919441281316,0.02586300330976531,92.4563981376044,-1.072455472748923
case_03,My,neg_My_045,0.45,0.04471450691560985,0.041827192890366884,99.36557092357745,-1.0690295911755516
case_03,My,neg_My_065,0.65,0.06719124617934513,0.06315333845700144,103.37114796822327,-1.0639381515055288
case_03,My,neg_My_090,0.9,0.086885160596605,0.08348140268288332,96.5390673295611,-1.0407726488095963
case_03,My,neg_My_120,1.2,0.11899040861257926,0.10523378403983007,99.15867384381605,-1.1307244123003544
case_03,My,pos_My_01,0.1,0.010376375696801166,0.010840274676429715,103.76375696801165,0.9572059755425555
case_03,My,pos_My_02,0.2,0.018978453312347376,0.018767822110095655,94.89226656173688,1.0112229965211796
case_03,My,pos_My_03,0.3,0.03193617959418793,0.03158005565337879,106.45393198062644,1.0112768623563535
case_03,My,pos_My_045,0.45,0.04243659493867691,0.04186391529671358,94.3035443081709,1.0136795528536788
case_03,My,pos_My_065,0.65,0.06787168783154052,0.06849159212543258,104.41798127929309,0.9909491913583085
case_03,My,pos_My_090,0.9,0.09293897040586696,0.0871941202110574,103.26552267318552,1.0658857521688836
