case,ax,rate,res,cap
S6,My,0.3,0.19352470850965062,0.6414751156789064
S6,My,0.45,0.13368080715327121,0.5203174295584383
S6,My,0.65,0.12673413806284942,0.44030431359305033
S6,My,0.9,0.11165977726906633,0.36922715878178436
S6,My,1.2,0.1195531482074474,0.3450168926500473
S7,Mx,0.1,0.49696241252617396,1.169416229461683
S7,Mx,0.2,0.16044143936064217,0.7304069954649087
S7,Mx,0.3,0.22785067858343094,0.5736598682820507
S7,Mx,0.45,0.12191208112081241,0.46074286072169107
S7,Mx,0.65,0.16068117683185737,0.3901891548932701
S7,Mx,0.9,0.18123541478287009,0.34742700877747074
S7,Mx,1.2,0.10381114465196462,0.285752887708565
S7,Mx,0.1,0.4936116587177974,1.170327167734536
S7,Mx,0.2,0.23959307003669064,0.7348314871167955
S7,Mx,0.3,0.16226200592742718,0.5672270094478117
S7,Mx,0.45,0.10883496903015358,0.4583735525834519
S7,Mx,0.65,0.12209330246408948,0.3924735306837567
S7,Mx,0.9,0.13791066568863072,0.35757957486873315
S7,Mx,1.2,0.12154125891371238,0.31546645527500505
S7,My,0.1,0.5852386132980677,1.340419115016277
S7,My,0.2,0.3026702357927078,0.8220291249110615
S7,My,0.3,0.18018154775713405,0.6493184748645068
S7,My,0.45,0.1174685759480809,0.515958408431498
S7,My,0.65,0.13854724494869103,0.4348406998164237
S7,My,0.9,0.1193403862949241,0.3765027840331819
S7,My,1.2,0.13580529735183874,0.3441550903482551
S7,My,0.1,0.5935001225090466,1.3319629153789758
S7,My,0.2,0.14125501286914718,0.8196555924717756
S7,My,0.3,0.21716970983440442,0.6497235889202038
S7,My,0.45,0.13421681733982346,0.5143014781972257
S7,My,0.65,0.11793573197900072,0.4307897212657108
S7,My,0.9,0.14479895882792396,0.3823504689724519
S7,My,1.2,0.12539477660232828,0.34955111826326757
S8,Mx,0.1,0.5844071573155531,1.2295008706684714
S8,Mx,0.2,0.36500540318880476,0.7664976031647701
S8,Mx,0.3,0.23616231434956061,0.5887142756244524
S8,Mx,0.45,0.12272185887400867,0.4854598366697715
S8,Mx,0.65,0.12177889248081411,0.4126053807408977
S8,Mx,0.9,0.14639399411323434,0.37530776022277057
S8,Mx,1.2,0.17903287408670365,0.33706153941150613
S8,Mx,0.1,0.1680783826757163,1.2078749485986362
S8,Mx,0.2,0.30724490796137954,0.7532554795163198
S8,Mx,0.3,0.18239826827701194,0.597765302952965
S8,Mx,0.45,0.12242191784616678,0.4763799640133843
S8,Mx,0.65,0.14871787530983893,0.4076176883037536
S8,Mx,0.9,0.12291864426620822,0.3572196031269437
S8,Mx,1.2,0.13103542576527552,0.3195584245425726
S8,My,0.1,0.5196554897675336,1.368115174484788
S8,My,0.2,0.3886600540390855,0.8474635234510226
S8,My,0.3,0.15709577291463112,0.6544626402399472
S8,My,0.45,0.1265066706165795,0.529418696025601
S8,My,0.65,0.11487416219435462,0.44172682747521197
S8,My,0.9,0.11235726718424838,0.3796293299622415
S8,My,1.2,0.1192601405103201,0.34479907014203054
S8,My,0.1,0.5729979593692204,1.3769334513496236
S8,My,0.2,0.3576602819038131,0.8593419524570199
S8,My,0.3,0.2542098504628643,0.6597784680046168
S8,My,0.45,0.14002918569400755,0.542918488569371
S8,My,0.65,0.13438210674966758,0.4604781599076019
S8,My,0.9,0.11831728940908558,0.3791210687427809
S8,My,1.2,0.11752628593432257,0.34644835811066743
S9,Mx,0.1,0.16578835330433958,1.2952224660693863
S9,Mx,0.2,0.5525028957761026,0.9028355449707102
S9,Mx,0.3,0.18550608663111878,0.6102141231420073
S9,Mx,0.45,0.1874947990553605,0.49210271120499594
S9,Mx,0.65,0.28466960768713484,0.49443890296614623
S9,Mx,0.9,0.23183690267350682,0.36766799693075636
S9,Mx,1.2,0.21271144380298157,0.3326947190023431
S9,Mx,0.1,0.37241276166925746,1.2686828510447237
S9,Mx,0.2,0.40336521943832226,0.7883576875236413
S9,Mx,0.3,0.17887233535678285,0.6183863856155599
S9,Mx,0.45,0.12359971059772552,0.5053374886991321
