case,ax,rate,de,res,cap
S4,My,1.2,0.1661624038958537,0.1323763148214322,0.5009810050253509
S5,Mx,0.1,0.05625457165809362,0.5952868055709492,0.39107317278759085
S5,Mx,0.2,0.07988750502521864,0.3384464225623048,0.41470610615471587
S5,Mx,0.3,0.09939659426147732,0.17598321677549902,0.43421519539097453
S5,Mx,0.45,0.1250649816686476,0.12747175483467332,0.45988358279814484
S5,Mx,0.65,0.15090109054520343,0.1312571346437431,0.48571969167470064
S5,Mx,0.9,0.11941378920520822,0.16011210865751724,0.45423239033470547
S5,Mx,1.2,0.09532445440740064,0.120013624642321,0.4301430555368979
S5,Mx,0.1,0.04801237701177427,0.4303995459668483,0.38283097814127154
S5,Mx,0.2,0.07076200779312043,0.36443572026917637,0.40558060892261766
S5,Mx,0.3,0.08449111147332089,0.11519322469180635,0.41930971260281813
S5,Mx,0.45,0.11074790688906867,0.11794651563186748,0.4455665080185659
S5,Mx,0.65,0.14228504933606054,0.1397883941347466,0.4771036504655578
S5,Mx,0.9,0.13557717710382153,0.1294867437595343,0.4703957782333188
S5,Mx,1.2,0.1307154054102632,0.12498407694809407,0.4655340065397604
S5,My,0.1,0.061616088447792074,0.6891721949026957,0.39643468957728933
S5,My,0.2,0.10370938281717527,0.4213493151369468,0.43852798394667253
S5,My,0.3,0.10914526116787485,0.19765383792891925,0.44396386229737206
S5,My,0.45,0.14566422086696806,0.12231847386575395,0.4804828219964653
S5,My,0.65,0.1567322631515758,0.12163229619545705,0.49155086428107303
S5,My,0.9,0.18028726653827443,0.14228472677250262,0.5151058676677717
S5,My,1.2,0.16474017725019777,0.11838653632415073,0.499558778379695
S5,My,0.1,0.05299007167282002,0.5362337575485758,0.38780867280231723
S5,My,0.2,0.08813374149891419,0.3145746475889389,0.4229523426284114
S5,My,0.3,0.11551173341824095,0.22648949014061834,0.4503303345477382
S5,My,0.45,0.13745795728748575,0.11407930451711988,0.472276558416983
S5,My,0.65,0.14782895590464706,0.11676094904294275,0.4826475570341443
S5,My,0.9,0.1504129077724124,0.09764156125206465,0.48523150890190964
S5,My,1.2,0.1560972825024513,0.11089114973247563,0.49091588363194855
S6,Mx,0.1,0.04493926176560679,0.6069178412541347,0.37975786289510405
S6,Mx,0.2,0.07195692668801819,0.3324450207990289,0.4067755278175154
S6,Mx,0.3,0.09442939163092896,0.181736320126019,0.4292479927604262
S6,Mx,0.45,0.1176832298641594,0.1266029623728446,0.45250183099365665
S6,Mx,0.65,0.13367866675984363,0.1134266689990856,0.4684972678893409
S6,Mx,0.9,0.13569570773073794,0.11740436779041719,0.47051430886023515
S6,Mx,1.2,0.05169370902567604,0.12746611881556652,0.3865123101551733
S6,Mx,0.1,0.053315003759400716,0.6548109324907645,0.388133604888898
S6,Mx,0.2,0.08475039663865472,0.37974685566363336,0.41956899776815193
S6,Mx,0.3,0.10461967199195585,0.18267114162506767,0.4394382731214531
S6,Mx,0.45,0.11752368970389242,0.12248911038850048,0.45234229083338967
S6,Mx,0.65,0.1416196264992798,0.1314216951858861,0.4764382276287771
S6,Mx,0.9,0.15319970487365428,0.13523565386529748,0.48801830600315155
S6,Mx,1.2,0.099819748040425,0.13411933307528043,0.4346383491699222
S6,My,0.1,0.057983018838386406,0.5740678250894393,0.39280161996788365
S6,My,0.2,0.0833282946108995,0.3869891891915668,0.41814689574039676
S6,My,0.3,0.11048744673353107,0.1968221211179369,0.4453060478630283
S6,My,0.45,0.13725665393656822,0.13539911324859105,0.47207525506606546
S6,My,0.65,0.15600968529771306,0.12242481542954108,0.4908282864272103
S6,My,0.9,0.1511316148198273,0.13336689517875366,0.4859502159493245
S6,My,1.2,0.14436905040179696,0.12445098938813651,0.47918765153129417
S6,My,0.1,0.061546026961495054,0.43712632363288034,0.39636462809099227
S6,My,0.2,0.10239096561994944,0.4269520771982651,0.43720956674944667
S6,My,0.3,0.12871681958511394,0.19352470850965062,0.4635354207146112
S6,My,0.45,0.15303605104076315,0.13368080715327121,0.48785465217026036
S6,My,0.65,0.16614651889706497,0.12673413806284942,0.5009651200265622
S6,My,0.9,0.1695629906483252,0.11165977726906633,0.5043815917778225
S6,My,1.2,0.16641694941814758,0.1195531482074474,0.5012355505476448
S7,Mx,0.1,0.05267316076919744,0.49696241252617396,0.38749176189869466
S7,Mx,0.2,0.06831533816042286,0.16044143936064217,0.4031339392899201
S7,Mx,0.3,0.11177975368556214,0.22785067858343094,0.4465983548150594
S7,Mx,0.45,0.1318815567947477,0.12191208112081241,0.4667001579242449
S7,Mx,0.65,0.15961655646757966,0.16068117683185737,0.4944351575970769
S7,Mx,0.9,0.11895795776624767,0.18123541478287009,0.4537765588957449
S7,Mx,1.2,0.13965840150815811,0.10381114465196462,0.47447700263765535
S7,Mx,0.1,0.047578801744061365,0.4936116587177974,0.3823974028735586
S7,Mx,0.2,0.06747810994105406,0.23959307003669064,0.4022967110705513
S7,Mx,0.3,0.08890081842789961,0.16226200592742718,0.42371941955739684
S7,Mx,0.45,0.09972196118803867,0.10883496903015358,0.4345405623175359
S7,Mx,0.65,0.1335328177449213,0.12209330246408948,0.46835141887441856
S7,Mx,0.9,0.1359555010664471,0.13791066568863072,0.47077410219594434
S7,Mx,1.2,0.13970203538711914,0.12154125891371238,0.47452063651661636
S7,My,0.1,0.05403686682049525,0.5852386132980677,0.3888554679499925
S7,My,0.2,0.08791878845915171,0.3026702357927078,0.4227373895886489
S7,My,0.3,0.11520368535182003,0.18018154775713405,0.45002228648131726
S7,My,0.45,0.13723178302348857,0.1174685759480809,0.47205038415298584
S7,My,0.65,0.16501517699801677,0.13854724494869103,0.499833778127514
S7,My,0.9,0.13185607142498312,0.1193403862949241,0.46667467255448036
S7,My,1.2,0.1651835857055542,0.13580529735183874,0.5000021868350515
S7,My,0.1,0.06831575459354093,0.5935001225090466,0.4031343557230382
S7,My,0.2,0.08786540278482,0.14125501286914718,0.42268400391431726
S7,My,0.3,0.12919273953082583,0.21716970983440442,0.46401134066032307
S7,My,0.45,0.1532847915873843,0.13421681733982346,0.4881033927168815
S7,My,0.65,0.18435855770094692,0.11793573197900072,0.5191771588304441
S7,My,0.9,0.13874430979152472,0.14479895882792396,0.473562910921022
S7,My,1.2,0.16599109923978958,0.12539477660232828,0.5008097003692868
S8,Mx,0.1,0.0497030383378561,0.5844071573155531,0.38452163946735335
S8,Mx,0.2,0.07038531095774715,0.36500540318880476,0.4052039120872444
S8,Mx,0.3,0.09882282314727446,0.23616231434956061,0.4336414242767717
S8,Mx,0.45,0.10898500456091059,0.12272185887400867,0.44380360569040783
S8,Mx,0.65,0.12468840587174018,0.12177889248081411,0.4595070070012374
S8,Mx,0.9,0.1350555007093052,0.14639399411323434,0.4698741018388024
S8,Mx,1.2,0.13552346545729993,0.17903287408670365,0.47034206658679717
S8,Mx,0.1,0.04215147456579115,0.1680783826757163,0.3769700756952884
S8,Mx,0.2,0.08866472954511535,0.30724490796137954,0.4234833306746126
S8,Mx,0.3,0.10370026232400749,0.18239826827701194,0.4385188634535047
S8,Mx,0.45,0.13082169898214988,0.12242191784616678,0.46564030011164714
S8,Mx,0.65,0.14614468157127344,0.14871787530983893,0.4809632827007707
S8,Mx,0.9,0.14963924710380283,0.12291864426620822,0.48445784823330007
S8,Mx,1.2,0.11536881749010516,0.13103542576527552,0.45018741861960243
S8,My,0.1,0.07070947933517802,0.5196554897675336,0.40552808046467526
S8,My,0.2,0.11289248393777952,0.3886600540390855,0.44771108506727675
S8,My,0.3,0.13305993450169562,0.15709577291463112,0.46787853563119286
S8,My,0.45,0.15629426650100248,0.1265066706165795,0.4911128676304997
S8,My,0.65,0.14943289874788662,0.11487416219435462,0.48425149987738386
S8,My,0.9,0.16642130561666155,0.11235726718424838,0.5012399067461588
