case,ax,rate,cap,res
S3,My,0.9,0.18381635253162323,0.31072843718699483
S3,My,1.2,0.16027459698681248,0.3146700477402466
S3,My,0.1,0.19364949046772278,0.22035501303905086
S3,My,0.2,0.16551179797236495,0.2198257227397004
S3,My,0.3,0.19146719880049642,0.23544048310260346
S3,My,0.45,0.19172562696782286,0.26432086493653223
S3,My,0.65,0.14586104610212144,0.24402424896944877
S3,My,0.9,0.20319666250250126,0.27560397514751966
S3,My,1.2,0.22782632697969488,0.29287400671685687
S4,Mx,0.1,0.17313541140608898,0.2222423995793171
S4,Mx,0.2,0.17899600365455817,0.24021612394230835
S4,Mx,0.3,0.18429217178143548,0.2587485492463891
S4,Mx,0.45,0.1719569219302654,0.2575485650533655
S4,Mx,0.65,0.19991076063104593,0.27553464547476675
S4,Mx,0.9,0.15341504527113015,0.2913847572858066
S4,Mx,1.2,0.17138520977649713,0.27597509758816907
S4,Mx,0.1,0.17855937542438344,0.2678663508001892
S4,Mx,0.2,0.19177150509785784,0.27574108865767577
S4,Mx,0.3,0.21828584360275094,0.38438505724458866
S4,Mx,0.45,0.17197073345020833,0.3801431827784917
S4,Mx,0.65,0.18834866363678954,0.3928570794666447
S4,Mx,0.9,0.20081249410495522,0.39981125647195487
S4,Mx,1.2,0.15932997059556125,0.4074903340910188
S4,My,0.1,0.1885340746921931,0.2505974920842713
S4,My,0.2,0.1992594368046824,0.30773331515124885
S4,My,0.3,0.17067871685335043,0.33429989886496986
S4,My,0.45,0.20520973296232192,0.3472385568731369
S4,My,0.65,0.19927265506749792,0.33628413552890274
S4,My,0.9,0.21294312883129257,0.26601798395580445
S4,My,1.2,0.19825496524995997,0.39841797299786186
S4,My,0.1,0.18620412930164573,0.1827231862968904
S4,My,0.2,0.1804735298390037,0.2206519018555173
S4,My,0.3,0.17750392851069827,0.23336869261738372
S4,My,0.45,0.1764592351283617,0.27100362058264904
S4,My,0.65,0.18382948107334005,0.26037221036578406
S4,My,0.9,0.2124000739887363,0.29345433680095667
S4,My,1.2,0.17642845291064013,0.29680056450160297
S5,Mx,0.1,0.19894685499361683,0.3344788061710302
S5,Mx,0.2,0.177648470882901,0.27872827660398514
S5,Mx,0.3,0.17558618805012524,0.3340645588673905
S5,Mx,0.45,0.1772861966614166,0.3263337693728064
S5,Mx,0.65,0.1689978802538913,0.34618771507868096
S5,Mx,0.9,0.1850209632384605,0.23745322281514344
S5,Mx,1.2,0.2250109478173709,0.19347429137748087
S5,Mx,0.1,0.1781932644245609,0.22722027556200095
S5,Mx,0.2,0.1913815359858631,0.263480908597228
S5,Mx,0.3,0.17518191835067576,0.21563471487849276
S5,Mx,0.45,0.17968171892939638,0.2746052781327461
S5,Mx,0.65,0.19405566745741581,0.30042662129143216
S5,Mx,0.9,0.19583444763375968,0.30854654827473427
S5,Mx,1.2,0.16449101962280516,0.271009879637696
S5,My,0.1,0.20928822199496014,0.3227878573756786
S5,My,0.2,0.1923591693164815,0.32019917232335515
S5,My,0.3,0.20372538107562452,0.2718108870203741
S5,My,0.45,0.18508558303236136,0.3044413197431237
S5,My,0.65,0.2238149519556121,0.40725584376069524
S5,My,0.9,0.18822257015417967,0.3562307660370866
S5,My,1.2,0.18408563106817682,0.351816310924183
S5,My,0.1,0.20316711945427995,0.22362778706013517
S5,My,0.2,0.192045257004694,0.23896404894997814
S5,My,0.3,0.18041517228148551,0.2421008923025115
S5,My,0.45,0.17044354749399424,0.22346101663894288
S5,My,0.65,0.1833459700035614,0.25694435707368146
S5,My,0.9,0.15440366350483922,0.24295316838096048
S5,My,1.2,0.15572517777374548,0.3072314480266334
S6,Mx,0.1,0.1680998919203185,0.2209755012484321
S6,Mx,0.2,0.17455343286999483,0.23878972843951757
S6,Mx,0.3,0.17085012696347748,0.26042232456186404
S6,Mx,0.45,0.17823210995373437,0.26549657376325797
S6,Mx,0.65,0.17805179683792224,0.27989480655212007
S6,Mx,0.9,0.1731741963165644,0.28194357162131095
S6,Mx,1.2,0.17797373271638706,0.5687857038314427
S6,Mx,0.1,0.21001788353352757,0.3220971237714145
S6,Mx,0.2,0.17454923130493757,0.3628437296530966
S6,Mx,0.3,0.18411386611481145,0.35662048670657653
S6,Mx,0.45,0.1735441496562918,0.3055138853117486
S6,Mx,0.65,0.2112091197710728,0.36041644577028054
S6,Mx,0.9,0.15972318190782955,0.3551776637140578
S6,Mx,1.2,0.18814206252994392,0.16293959232634922
S6,My,0.1,0.18986910565217754,0.23328917124483536
S6,My,0.2,0.20052404995863018,0.22365206596733467
S6,My,0.3,0.1907304043896076,0.25482361324230535
S6,My,0.45,0.18918020322375467,0.24784966715777068
S6,My,0.65,0.19506047390646528,0.24326788967937465
S6,My,0.9,0.18535942390457333,0.27418200345910837
S6,My,1.2,0.18162683717802144,0.22913651485887793
S6,My,0.1,0.16632795196597305,0.2654981039521786
S6,My,0.2,0.2059160995498147,0.3296769822804338
S6,My,0.3,0.19899703887776388,0.3315590296334485
S6,My,0.45,0.14877488329486924,0.3361255903520117
S6,My,0.65,0.20847347517334736,0.34895973928116647
S6,My,0.9,0.1647938308384938,0.3923756140593328
S6,My,1.2,0.20666606971875548,0.35980535855872425
S7,Mx,0.1,0.18896117269375992,0.28410155869441284
