bag,dir,lp_mm,dphi_deg,int_dyn,int_mod,slope_dyn,slope_mod,a_rate_mm_per_deg,case,axis,z_com,j_p
neg_My_120,neg,111.95261744366421,5.085737559464681,361.1235809914658,138.8192794851365,-69.11429737540442,0.9827681611548749,2.219090215224649,case_03,My,0.256,0.30055192
pos_My_01,pos,119.36095769935378,6.497748459726544,238.3046234101884,140.79810866357488,-20.87863964543259,-2.473071892327068,0.5826722558773695,case_03,My,0.256,0.30055192
pos_My_02,pos,118.80386515916587,6.339067132981654,207.3800647512479,144.5557961089265,-44.804758082798564,-2.127305846977575,1.3510567944935448,case_03,My,0.256,0.30055192
pos_My_03,pos,118.81493262775035,5.766436993477743,210.84371644613276,142.3000569734959,-45.774988443159955,-1.6926078034104497,1.3955331623754914,case_03,My,0.256,0.30055192
pos_My_045,pos,117.43643900934083,6.689645195141492,237.90471317731087,143.51160759652097,-50.4118149206399,-1.4339215915013679,1.5505123219790466,case_03,My,0.256,0.30055192
neg_Mx_01,neg,138.83871353475604,6.899083170796507,218.74192765348107,177.71633221067196,-59.66875732171767,-3.2580483858001767,1.7858158722534834,case_04,Mx,0.256,0.32522292
neg_Mx_02,neg,140.4293640720853,6.7707150486662115,224.61055842429727,179.55287588459356,-8.614720058144943,-3.0335392117619873,0.1766856245807914,case_04,Mx,0.256,0.32522292
neg_Mx_03,neg,141.02243934007925,7.188158185688683,81.29625643826523,182.85960931611956,-16.651449242116904,-2.665352399023614,0.4427633370402013,case_04,Mx,0.256,0.32522292
neg_Mx_045,neg,142.48329141154454,8.410093436544278,87.85178064214098,181.99476444663682,-2.4966250547124478,-2.2856883757566493,0.0066777049327216755,case_04,Mx,0.256,0.32522292
neg_Mx_090,neg,142.00441139353774,6.176142569466366,236.81286871369986,181.28065194793902,-79.02744827352709,-1.0955605567317293,2.4671202448001264,case_04,Mx,0.256,0.32522292
pos_Mx_01,pos,137.1198326248908,4.463845380486122,185.00380218796658,188.50636716771396,-47.45480262267754,-3.192015312374385,1.4012443668934331,case_04,Mx,0.256,0.32522292
pos_Mx_02,pos,136.84035374312424,4.594345603562303,163.2366414225214,189.40787866471797,-57.44826843633245,-2.6590238475999013,1.7344845413392511,case_04,Mx,0.256,0.32522292
pos_Mx_03,pos,138.39987871491755,5.4215746786729575,204.84850052694284,190.34104152748753,-67.41077297454584,-2.486424833245964,2.055335477846154,case_04,Mx,0.256,0.32522292
